xStart	yStart	Y	InitPos=0
13094	1.378218	13216.000000
13095	1.360258	13217.000000
13096	1.341217	13218.000000
13097	1.321221	13219.000000
13098	1.300917	13220.000000
13099	1.281051	13221.000000
13100	1.263542	13222.000000
13101	1.246086	13223.000000
13102	1.228386	13224.000000
13103	1.210775	13225.000000
13104	1.193345	13226.000000
13105	1.175970	13227.000000
13106	1.158492	13228.000000
13107	1.140906	13229.000000
13108	1.123384	13230.000000
13109	1.106145	13231.000000
13110	1.089298	13232.000000
13111	1.072784	13233.000000
13112	1.056459	13234.000000
13113	1.040225	13235.000000
13114	1.024098	13236.000000
13115	1.008157	13237.000000
13116	0.992438	13238.000000
13117	0.976881	13239.000000
13118	0.961375	13240.000000
13119	0.945873	13241.000000
13120	0.930457	13242.000000
13121	0.915286	13243.000000
13122	0.900463	13244.000000
13123	0.885920	13245.000000
13124	0.871442	13246.000000
13125	0.856807	13247.000000
13126	0.841947	13248.000000
13127	0.827006	13249.000000
13128	0.812233	13250.000000
13129	0.797801	13251.000000
13130	0.783695	13252.000000
13131	0.769746	13253.000000
13132	0.755818	13254.000000
13133	0.741958	13255.000000
13134	0.728422	13256.000000
13135	0.715492	13257.000000
13136	0.703237	13258.000000
13137	0.691362	13259.000000
13138	0.679289	13260.000000
13139	0.666442	13261.000000
13140	0.652561	13262.000000
13141	0.637874	13263.000000
13142	0.623018	13264.000000
13143	0.608742	13265.000000
13144	0.595590	13266.000000
13145	0.583688	13267.000000
13146	0.572752	13268.000000
13147	0.562278	13269.000000
13148	0.551786	13270.000000
13149	0.541007	13271.000000
13150	0.530080	13272.000000
13151	0.511599	13274.000000
13153	0.492945	13276.000000
13155	0.473726	13278.000000
13157	0.453982	13280.000000
13159	0.443839	13281.000000
13160	0.433550	13282.000000
13161	0.423265	13283.000000
13162	0.413206	13284.000000
13163	0.395654	13286.000000
13165	0.379645	13288.000000
13167	0.363442	13290.000000
13169	0.346933	13292.000000
13171	0.331437	13295.000000
13174	0.313217	13298.000000
13177	0.296685	13300.000000
13179	0.279360	13302.000000
13181	0.262825	13304.000000
13183	0.247308	13306.000000
13185	0.228404	13309.000000
13188	0.208323	13313.000000
13192	0.189882	13316.000000
13195	0.170436	13320.000000
13199	0.149724	13326.000000
13205	0.130506	13331.000000
13210	0.111555	13338.000000
